run,t,KE,PE,E,dE_rel
dt100,6.157536,4.999919658487065e-07,-9.999919578883105e-07,-4.999999920396039e-07,5.089643181572871e-10
dt100,6.2832,4.999999979046119e-07,-9.999999979027868e-07,-4.999999999981749e-07,1.540817795174503e-08
dt200,0.15708,4.999969627021824e-07,-9.999969619522718e-07,-4.999999992500893e-07,0.0
dt200,0.31416,4.999879258056532e-07,-9.999879228238634e-07,-4.999999970182102e-07,4.46375818312307e-09
dt200,0.47124,4.999731124259578e-07,-9.999731057859103e-07,-4.999999933599525e-07,1.1780273573691598e-08
dt200,0.62832,4.999528882459295e-07,-9.99952876611918e-07,-4.999999883659886e-07,2.176820149962414e-08
dt200,0.7854,4.999277524153578e-07,-9.999277345753922e-07,-4.999999821600344e-07,3.4180109872371214e-08
dt200,0.94248,4.998983251404371e-07,-9.998983000361642e-07,-4.999999748957271e-07,4.870872457260302e-08
dt200,1.0995599999999999,4.998653322797463e-07,-9.998652990325053e-07,-4.99999966752759e-07,6.49946607434471e-08
dt200,1.25664,4.998295873392304e-07,-9.998295452716016e-07,-4.999999579323712e-07,8.263543627985182e-08
dt200,1.41372,4.997919713226788e-07,-9.997919199750018e-07,-4.999999486523229e-07,1.0119553288594895e-07
dt200,1.5708,4.99753410945653e-07,-9.997533500871261e-07,-4.999999391414731e-07,1.202172325910806e-07
dt200,1.7278799999999999,4.997148557586402e-07,-9.997147853927466e-07,-4.999999296341064e-07,1.3923196608548534e-07
dt200,1.88496,4.996772547486482e-07,-9.996771751127998e-07,-4.999999203641516e-07,1.5777187556707851e-07
dt200,2.04204,4.996415329973121e-07,-9.99641444556751e-07,-4.99999911559439e-07,1.7538130093175067e-07
dt200,2.1991199999999997,4.996085689680307e-07,-9.99608472404158e-07,-4.999999034361273e-07,1.9162792439762957e-07
dt200,2.3562,4.995791729751951e-07,-9.995790691686374e-07,-4.999998961934423e-07,2.0611329425419093e-07
dt200,2.51328,4.9955406735613e-07,-9.995539573649775e-07,-4.999998900088475e-07,2.1848248400248683e-07
dt200,2.67036,4.995338688220245e-07,-9.995337538557801e-07,-4.999998850337556e-07,2.2843266771671664e-07
