distribution,N,variant,mean_err,max_err,p95_err,rms_err,mean_angular_err,max_angular_err,time_bh_ms,opened_nodes,mean_depth,dE_rel_final,dE_rel_max,dE_rel_mean,dp_rel_max,dL_rel_max,total_wall_s,mean_step_wall_s,Q_virial_final,r_hm_final,r_hm_init
plummer_a1,1000,V1_geom_bare,0.08600824,0.6396785,0.2253496,0.1133236,0.004016356,0.2286993,7.531,63917,4.155,0.3327148087547152,0.3327148087547152,0.219813748411716,1.000000000000027,0.9244944941831312,22.591741312,0.022546257553,0.3181406202509259,0.1650786204103537,0.0515957702762902
plummer_a1,1000,V2_geom_soft,0.01258031,0.01835297,0.01598103,0.01269008,1.088461e-06,2.082463e-05,7.006,63917,4.155,0.362691724719667,0.362691724719667,0.2286013988727259,1.0000000000002438,0.4060476620722469,22.820100463,0.02277604963,0.2944338449864838,0.1405302489350088,0.0506251126901598
plummer_a1,1000,V3_rel_bare,1.937919e-06,3.54029e-05,1.135218e-05,5.236428e-06,5.708087e-12,1.963023e-10,35.959,659162,5.79,0.3430922360021804,0.3430922360021804,0.2125919982737812,1.0000000000501157,0.0469385402507275,49.212198449,0.049168474773,0.2847098080242501,0.1653318963760376,0.0512214741249455
plummer_a1,1000,V4_rel_soft,7.381537e-07,8.026302e-06,4.571521e-06,1.647371e-06,5.508793e-14,1.435074e-12,35.473,659162,5.79,0.3314619473635037,0.3314619473635037,0.2026247540821957,1.0000000005057013,0.0204350470921612,49.868822112,0.049824219122,0.288380755828601,0.1501104577479006,0.0512214938639473
plummer_a1,1000,V5_rel_soft_consistent,4.026545e-05,0.0001273904,0.0001047371,5.103405e-05,1.126705e-10,1.450016e-09,35.521,572793,5.662,0.3236689276651252,0.3236689276651252,0.1950801337808615,0.9999999999955438,0.0403665851525653,52.510692941,0.052465926173,0.3047384250544069,0.188219877959801,0.051221937826952
plummer_a2,1000,V1_geom_bare,0.03343058,0.4316241,0.08980851,0.04638451,0.0005277467,0.08470822,6.036,61805,4.145,0.2836530098912143,0.2836530098912143,0.1639782583437561,1.000000000000081,1.8340983774276003,20.655920246,0.020611952449,0.310752575270927,0.0901743489898137,0.0562283787135971
plummer_a2,1000,V2_geom_soft,0.0123464,0.03324576,0.01662947,0.01261309,1.970517e-06,0.0001760578,6.068,61805,4.145,0.260259846062066,0.260259846062066,0.1502795311903997,1.0000000000004594,0.3495612198542723,20.903713947,0.020859145631,0.2823927426861647,0.0727242352179094,0.0560314072721506
plummer_a2,1000,V3_rel_bare,7.252496e-06,3.300608e-05,2.322054e-05,9.921114e-06,2.862116e-11,2.631045e-10,33.101,591115,5.628,0.2425735932998706,0.2425735932998706,0.1372603618180915,1.0000000000103928,0.0253748620898749,54.095335691,0.054049965108,0.2963896232941749,0.0731406285391948,0.0566288116421278
plummer_a2,1000,V4_rel_soft,4.634084e-06,2.966537e-05,1.869676e-05,7.013827e-06,2.910026e-12,8.497869e-11,33.083,591115,5.628,0.2416688330823651,0.2417725250172452,0.136027770448575,1.0000000005975866,0.020709674837822,53.884086534,0.05383912451,0.2924868815291626,0.1293098778732903,0.0566290107306435
plummer_a2,1000,V5_rel_soft_consistent,1.787891e-05,8.298565e-05,5.411854e-05,2.465269e-05,3.001421e-11,4.757853e-10,34.315,552514,5.57,0.2412550923239492,0.2412550923239492,0.1297025216892125,1.0000000000075684,0.038676582304735,56.591248462,0.056545988782,0.2801456135962262,0.100168308924571,0.0566278823003889
plummer_a6,1000,V1_geom_bare,0.009872232,0.07175914,0.02524732,0.01258354,3.616995e-05,0.001342227,6.815,71586,3.77,0.0380361597292197,0.0390683559942253,0.0237443310564087,1.0000000000000115,0.3690057782921089,20.878528508,0.020834771374,0.3818805467703387,0.0938541116636048,0.0890093401593308
plummer_a6,1000,V2_geom_soft,0.005642957,0.02394059,0.01039456,0.006276379,2.047626e-06,8.081142e-05,6.946,71586,3.77,0.035694682452513,0.035694682452513,0.0194071586740901,1.0000000000002074,0.0398590862519668,20.705855216,0.020662077186,0.3650679847564284,0.1007708180319228,0.0892485158182117
plummer_a6,1000,V3_rel_bare,6.892017e-06,2.767511e-05,1.689436e-05,8.23472e-06,1.622142e-11,3.546786e-10,29.902,473607,5.125,0.0250507187373627,0.0250507187373627,0.0154197068233698,1.0000000000053415,0.0012985818666086,51.651928906,0.051611423547,0.3694902481761354,0.0985732480379793,0.0888497410091822
plummer_a6,1000,V4_rel_soft,6.630982e-06,2.222616e-05,1.460627e-05,7.901075e-06,5.236813e-12,1.503737e-10,29.794,473607,5.125,0.0304979546494113,0.0308741703441274,0.0188684541678586,1.0000000000057556,0.0014775851175317,51.820641262,0.051779332833,0.3705861183067397,0.0957381061772153,0.0888499404137806
plummer_a6,1000,V5_rel_soft_consistent,7.970231e-06,2.474186e-05,1.702682e-05,9.463644e-06,7.080749e-12,1.469787e-10,31.601,460757,5.101,0.0370482465150595,0.0387219667832637,0.0239922375430732,1.0000000000036553,0.0011829931417482,54.718817309,0.05467699094,0.3689873117988097,0.0976600510245911,0.0888500452590679
uniform,1000,V1_geom_bare,0.003036994,0.09364134,0.01013201,0.007246883,1.864293e-05,0.00263662,6.157,56224,3.209,0.0009700768402466,0.0054168147373878,0.0016324272065037,1.0,1.0,19.915660605,0.019879804136,0.4618673931308275,0.675316560307856,0.7855227886229509
uniform,1000,V2_geom_soft,0.001629404,0.02645874,0.004088168,0.002283159,1.800582e-06,0.0003499342,6.191,56224,3.209,0.0018245828381784,0.0063083547204404,0.0011604809324214,1.0,1.0,20.054339961,0.020011244521,0.4580528888177261,0.6789948608488965,0.7855191298102776
uniform,1000,V3_rel_bare,1.860962e-05,0.0001430596,3.92794e-05,2.203662e-05,1.654169e-10,9.179942e-09,21.329,277922,4.131,0.0018243451787046,0.0118304257414849,0.0016402669316216,1.0,1.0,41.872268158,0.041829709844,0.4697167264887768,0.6654516063785016,0.7855381834035354
