t,N,KE,PE,E,dE_rel,px,py,pz,p_norm,Lz,Q,r_hm,com_x,com_y,com_z,t_over_tcross,run
14.25,200,0.6639113800570174,-1.4038456044213454,-0.739934224364328,0.0031609450474502534,-0.0002990419070357996,-0.0020755149423057526,-0.0005479095967606294,0.002167347056684844,-0.008415323074952918,0.47292335992366963,0.24873957881646436,-0.003925389624136164,-0.010665804199647534,-0.0030966516733264,5.817538139110049,serial
14.5,200,0.6801596160180917,-1.417912913303459,-0.7377532972853672,0.0002041675426802674,-7.2940426836992e-05,-0.0019956419895538146,-0.0007839277205069332,0.0021453321251770473,-0.008407185796383748,0.4796906845523067,0.23219199988501263,-0.003959396353420077,-0.011166579029406732,-0.0032573685223514534,5.9196002117260145,serial
14.75,200,0.6962701005213209,-1.4355926522718228,-0.7393225517505019,0.00233167393504484,-5.469431894735652e-05,-0.0020777170225837046,-0.0008727650174677167,0.002254244500974691,-0.008405300363496205,0.48500533867979523,0.24022766260771675,-0.003974417781038613,-0.01169038221242494,-0.003451814615866597,6.02166228434198,serial
15.0,200,0.5968174075398278,-1.3348114376301894,-0.7379940300903616,0.0005305394554939252,4.6035380489271284e-05,-0.0022803098420495437,-0.0006038093532295332,0.0023593469365594103,-0.00838248399938007,0.4471173910521859,0.24130006731900935,-0.003975126890279119,-0.012242926803899682,-0.0036567192824840202,6.123724356957946,serial
15.25,200,0.5974149868909784,-1.336257193961703,-0.7388422070707246,0.0016804498031594854,0.00030048565705578925,-0.0023865222569573502,-0.0005198295581079664,0.002460894732111022,-0.008374780928153538,0.44708083862192494,0.25689004517119013,-0.003941140585049454,-0.01280498995160402,-0.0037950812765854373,6.225786429573912,serial
15.5,200,0.5429561255965318,-1.2807279727626384,-0.7377718471661066,0.00022931642116198574,0.0003863081793544195,-0.0022354419491765615,-0.0007087019444908036,0.002376697953821536,-0.008373380604258029,0.4239433643549845,0.25148115934700727,-0.003845026058693142,-0.013387136957179807,-0.003959803644595621,6.327848502189878,serial
15.75,200,0.6715171920067813,-1.4097902578537773,-0.738273065846996,0.0009088403423976643,0.00035880364306226076,-0.0021155299767199104,-0.0005841886359618609,0.0022238443063897872,-0.00834018561029162,0.47632418245610453,0.22810196592822415,-0.0037501947707840977,-0.01393378493971998,-0.004132779338039852,6.429910574805843,serial
16.0,200,0.584415688586091,-1.320901573868664,-0.736485885282573,0.0015141179219227655,0.0005816464398025617,-0.002325513336446123,-0.000361862922382726,0.002424308073145643,-0.008312631592481868,0.44243696892150036,0.2522590605033266,-0.003631042438409998,-0.014474955345862305,-0.004240378768188161,6.531972647421809,serial
16.25,200,0.5579962048924957,-1.2943094471408236,-0.736313242248328,0.0017481775770737111,0.0005987965704804733,-0.00249549617430752,-0.00023849476338790515,0.002577389811605163,-0.008292090975894785,0.43111499041062357,0.2546408142552705,-0.003471368103689955,-0.015065574325865194,-0.0043181881854682524,6.634034720037775,serial
16.5,200,0.579966827101241,-1.3165782913465602,-0.7366114642453192,0.0013438650713334947,0.0005020659744370972,-0.002238152202587329,-0.00038476607560143357,0.0023258203837716513,-0.00832155876174722,0.4405107018041949,0.2593245177278284,-0.0033115438130278557,-0.01565797391963514,-0.004391655149962893,6.736096792653741,serial
